title,desc
"H-1 Lebaran 2020, Kasus Positif Corona di Jakarta Bertambah 127 Orang","Persentase kasus sembuh di Jakarta sebesar 25 persen, sementara kasus kematian akibat corona sebesar 8 persen."
Polisi Siapkan Titik Penyekatan Tol dan Arteri untuk Antisipasi Arus Balik,"Menurut Argo, titik penyekatan arus balik sudah disebar di setiap ruas jalan yang mengarah ke Jakarta."
Mulyadi Donasi 10 Ribu Paket Sembako ke Warga Sumbar Jelang Lebaran,Lasmawan menjelaskan bantuan dari Mulyadi akan berfokus kepada masyarakat berprofesi sebagai pejuang nafkah harian.
Tata Cara Salat Idul Fitri Mandiri di Rumah,"Bagi kawasan yang penyebaran Corona Covid-19 sudah berkurang, maka salat Idul Fitri bisa dilakukan di lapangan atau masjid namun dengan tetap menggunakan protokol kesehatan."
Ramainya Suasana Malam Ibu Kota Banten Jelang Idul Fitri di Tengah Pandemi Corona,"Pasar Royal, Kota Serang ramai dipadati masyarakat tanpa protokol kesehatan pencegahan Covid-19."
Menkes Sarankan Pilkada 2020 Ditunda hingga WHO Cabut Status Pandemi Corona,"Jika WHO belum mencabut status pandemi Covid-19, maka situasi kesehatan negara-negara dunia, termasuk Indonesia, belum bisa dipastikan."
Mendes Surati Semua Bupati Minta BLT Desa Cair Sebelum Lebaran Idul Fitri 2020,Salah satu persoalan lambatnya pencairan BLT Dana Desa adalah masih menunggu data penerima dari kabupaten.
Cak Machfud Ajak Hafiz Surabaya Munajat Bersama Agar Corona Cepat Berakhir,"Selain doa bersama, Cak Machfud juga memberikan beberapa bantuan kepada para hafiz serta hafizah asal Surabaya tersebut."
"PSBB Jabar Segera Berakhir, Ridwan Kamil Akan Putuskan Wilayah yang Bisa Relaksasi","Menurut Ridwan Kamil, banyak wilayah di Jawa Barat yang sudah terkendali setelah PSBB diterapkan."
Anies Sebut Ngabuburit Menambah Kasus Positif Corona di DKI Jakarta,"Menurut Anies, budaya mencari takjil setiap sore menjelang berbuka puasa bisa menjadi media penularan virus corona."
"Bansos Belum Merata, Jokowi Minta Prosedurnya Disederhanakan","Menurut Jokowi, sampai saat ini masih ada keriuhan di masyarakat terdampak Corona Covid-19 karena belum mendapatkan BLT Desa dan Bansos Tunai."
Anies: 60 Persen Warga Jakarta Patuhi Anjuran Tetap di Rumah,Hal ini ia ketahui dari riset pihaknya yang juga menggandeng Fakultas Kesehatan Masyarakat Universitas Indonesia (UI).
Ketua DPRD Gerah Pemprov DKI Sibuk Urus Anggaran Beli Tanah Saat Corona,Prasetio meminta Komisi C DPRD DKI untuk mengevaluasi usulan tersebut. Sebab dia menilai saat ini hal terpenting yakni penanggulangan dampak virus Corona.
Ridwan Kamil: Di Mana Ada Kerumunan di Situ ada Covid-19,Gubernur Jawa Barat Ridwan Kamil menjelaskan rumusan yang paling sederhana dalam melakukan pencegahan Corona Covid-19.
Cerita Artis Choky Sitohang Perangi Covid-19,"Sebagai presenter dan public figure, Choky juga melakukan upaya-upaya mencegah penularan virus Corona. Dia bekerja dari rumah selama kurang lebih dua bulan."
